Busstop,Total
서남시장앞1,13059
불로전통시장앞,12992
범어역(1번출구),12894
성서119안전센터앞,12879
월성청구코아건너,12827
신평리네거리1,12808
월성주공4단지앞2,12804
대명역(1번출구),12756
대구가톨릭대학병원앞,12712
도시철도담티역(3번출구),12698
동대구시장앞,12692
대구은행제2본점앞,12663
두류수영장앞,12651
서대구초등학교입구,12603
대백프라자건너,12599
칠곡에덴타운앞,12596
메트로팔레스2,12587
죽전네거리2,12574
메트로팔레스1,12529
월촌역(6번출구),12417
범물청구맨션앞,12411
계명대학교대명캠퍼스앞,12390
대구보건고등학교건너,12370
원대역2,12325
청구고등학교앞,12324
내당코오롱아파트건너,12314
검단유성아파트앞,12288
사월역(2번출구),12237
명성푸르지오앞,12235
북구청역(4번출구),12219
지산타운건너,12211
동대구역지하도2,12209
경북아파트건너(고산동),12189
방촌역(1번출구),12187
구)대영학원건너,12143
두류수영장건너,12088
영남이공대학앞,12072
두리봉네거리1,12063
한국폴리텍VI대구대학앞,12027
대구교육대앞,11977
KT서대구지사앞,11960
대구대종점,11855
중동시장건너,11843
대구동부고용복지플러스센터,11839
대구차여성병원앞,11824
지저동행정복지센터건너,11773
월배시장건너,11746
산격중학교건너,11735
고산2동행정복지센터앞,11685
대림육교1,11678
황금네거리1,11672
대명공연거리앞,11649
평리네거리2,11643
동인치안센터앞,11636
칠곡운암역1,11628
대구교통방송앞,11590
상인동서타운앞,11511
대명초등학교앞,11467
대자연맨션,11394
방천시장(김광석길)건너,11389
대백한라무지개타운건너,11386
동명교통,11381
평화타운건너,11379
이마트트레이더스앞,11378
불로동고분군건너,11375
국민건강보험공단앞,11373
성당코오롱하늘채2,11364
대구농업마이스터고앞,11346
경북여상앞,11292
성서우방타운건너,11283
원대시장건너,11275
북구청역(3번출구),11236
유천교1,11236
월성e-편한세상건너,11231
수성시장네거리2,11198
한가람타운앞,11186
영진전문대학정문앞,11169
현대해상앞,11108
동서화성타운앞,11105
경대아파트건너,11103
한전동대구지사건너,11072
압량신협 건너,10965
2호선반월당역2,10952
연암네거리1,10941
오페라삼정그린코아APT,10935
퀸벨호텔건너,10913
봉덕시장앞1,10903
동아백화점수성점건너,10890
KT동대구지사앞,10888
경북여상건너,10878
서부공업고등학교건너,10857
숙천초교입구,10835
남대구IC1,10818
북리2,10788
서재동화아이위시건너,10785
월성푸르지오앞,10766
감삼네거리1,10762
대곡주공8단지앞,10736
대구문화방송건너,10733
송현역(2번출구),10709
대곡주공2단지앞,10658
화원고등학교건너,10635
대백인터빌앞,10631
정화우방팔레스,10624
경북아파트건너(신천동),10621
대구콘서트하우스앞,10611
대구차여성병원건너,10566
청구그린맨션1차앞,10498
한영한마음아동병원건너,10444
계명대학교대명캠퍼스건너,10434
범어4동행정복지센터앞,10433
북구청건너,10428
시외버스정류장 건너,10414
대구해올중고교건너,10396
대구교육대건너,10385
봉덕교회건너,10375
동촌화성타운건너,10310
경남신성A,10300
진아리채앞,10281
갓바위,10280
현대백화점.동아쇼핑건너,10229
큰고개오거리1,10185
TBC건너,10175
유천교(유천치안센터건너),10171
중리롯데캐슬앞,10127
대일아파트건너,10124
수성롯데캐슬앞,10114
달서구청건너,10096
침산화성파크드림앞,10044
굿모닝병원건너,10036
성서우방타운앞,10015
남부경찰서앞,10007
대평리시장,9983
문성병원건너,9981
강산아파트건너,9930
명문세가APT앞,9928
캐슬골드파크(1102동),9898
사수초등학교앞,9891
칠곡그린파크2,9875
용산네거리1,9839
대구지방법원등기국건너,9828
퀸벨호텔앞,9819
범물한라주택건너,9817
수성구민운동장앞,9812
월배시장앞,9778
명덕네거리1,9777
대구보건대학4,9769
유천포스코앞,9745
칠곡동화아파트앞,9733
상록아파트,9729
대곡역(2번출구),9725
경일여자중학교건너,9707
구병원건너,9683
광장타운앞,9657
문화예술회관건너,9635
남산역(프린스호텔건너),9619
월성청구코아앞,9567
대성공업건너,9517
지산한라타운건너,9499
원대시장앞,9492
대구보건대학3,9481
제일여자상업고등학교건너,9441
월촌역(7번출구),9400
안심효성타운건너,9388
계명대학교정문건너,9382
월배역(3번출구),9363
보성화성타운앞,9357
앞산공원,9353
수목원제일풍경채앞,9341
서구시장앞,9320
신세계병원앞,9309
대구고등학교앞,9308
시지중학교,9307
대구문화방송앞,9305
동부소방서건너,9305
한화꿈에그린앞,9300
반야월역(도시철도2번출구),9299
굿모닝병원앞,9286
구.남부정류장건너1,9281
무태조야동행정복지센터앞2,9264
대곡주공7단지앞,9254
비산초등학교앞,9254
심인고등학교건너,9241
경북아파트앞(고산동),9229
수성네거리2,9229
서부1동주민센터(경산역),9222
신흥버스,9218
방천시장(김광석길)앞,9211
남산초등학교앞,9186
한국농어촌공사건너,9155
광명프레지던트아파트건너,9140
입석중학교건너,9131
만촌2동행정복지센터,9128
동호육교2,9126
수성네거리1,9123
미리내맨션건너,9116
대우트럼프월드수성건너,9076
대구공업대학1,9075
대실역(1번출구),9064
만평역(서대구고속버스터미널)2,9064
동산의료원앞2,9055
대명1동행정복지센터앞,9029
남구청건너2,9024
경산네거리(대구방향),9020
청구그린맨션1차건너,9020
장기초록나라건너,9015
달성공원건너,8993
캐슬골드파크4단지앞,8970
동인초등학교건너,8950
동부경찰서앞,8945
대구병원건너,8921
수성시장네거리1,8913
만촌태왕리더스앞1,8907
침산네거리1,8906
모다아울렛건너,8903
앞산청구제네스앞,8902
코오롱아파트,8861
북구청앞,8846
화원고등학교앞,8806
대원유치원건너,8804
성동초등학교앞,8792
삼익뉴타운앞,8788
대구광역시교육연수원건너,8759
봉덕시장건너3,8746
대구도시공사앞,8741
성서농협남부지소,8739
경진초등학교앞,8738
봉무공원앞,8733
화원농협주유소앞,8730
동구기억쉼터건너,8721
광장타운건너,8693
대구보건고등학교앞,8683
상인동화아이위시아파트건너,8682
월성2동행정복지센터건너,8681
복현오거리2,8664
칠곡그린빌2차건너,8662
대명초등학교건너,8657
대실역(4번출구),8655
문화예술회관앞,8631
침산3동행정복지센터,8606
대명역(2번출구),8595
동도중학교앞,8591
동촌강나루아파트앞,8585
계명문화대학건너,8561
칠곡운암역2,8557
곽병원앞2,8539
태전삼거리1,8536
대백프라자앞,8528
상인비둘기2단지아파트앞,8518
두류정수사업소앞,8511
비산7동우체국앞1,8479
큰고개2,8474
두산동행정복지센터건너,8469
서남시장앞2,8469
이마트경산점,8468
반야월시장1,8461
월성주공5단지앞,8449
지산목련아파트건너,8421
대백창신한라타운건너,8419
KT남대구지사건너1,8417
동대구시장건너,8417
고산2동행정복지센터건너,8408
명덕네거리2,8403
불로우방아파트앞,8399
성북교1,8397
동성초등학교건너,8396
복현우체국앞,8374
삼덕교회,8365
임당역1번출구,8358
성서청구타운건너,8332
칠곡에덴타운건너,8324
대동시장2,8302
대곡역(1번출구),8296
동대구맨션,8293
상인삼미타운건너,8292
두류공원네거리1,8281
옥포LH천년나무3단지앞,8273
동대구역지하도1,8252
공고네거리2,8243
칠곡그린파크1,8219
하양역,8203
진달래아파트건너,8202
인동촌시장입구,8177
불로삼거리,8174
복현네거리,8163
봉덕1동행정복지센터건너,8158
매곡사거리2,8151
봉산문화거리앞,8148
황금네거리2,8142
신매시장,8120
안심주공1단지건너,8118
만평네거리,8102
대일아파트앞,8101
홈플러스대구점건너,8088
대명1동행정복지센터건너,8071
봉무청구새들마을건너,8071
범어쌍용예가건너(호텔라온제나),8053
영남이공대학건너,8041
만촌육교2,8023
영남대동문 건너,8014
공항시장건너,8002
설화명곡역(8번출구),7983
비산지하도1,7975
구.동부정류장(메트로팔레스),7946
신기역(화성타운앞),7937
농수산물도매시장앞,7916
경북대학교북문앞,7909
중리광명맨션건너,7904
정동고등학교앞,7898
침산화성파크드림건너,7896
영남일보앞,7888
대구보건대학건너2,7887
운암초등학교앞,7879
율하롯데캐슬탑클래스앞,7878
경북고등학교앞,7875
월배역(4번출구),7851
달성중학교앞,7842
세원정공건너,7828
동촌역(신길)1,7821
대원유치원앞,7820
북비산네거리1,7815
헬로TV대구방송건너,7812
하양초등학교,7808
월성e-편한세상앞,7799
구.남부정류장건너2,7785
반야월역(도시철도3번출구),7785
두리봉네거리2,7784
국민건강보험공단,7759
월성1동행정복지센터건너,7759
반고개2,7754
경북대학교정문건너,7746
송현제림타운건너,7744
정평역4번출구,7742
대구은행칠곡지점건너,7733
수성못오거리1,7716
서대구중학교앞,7714
성서산업단지역(2번출구),7702
명곡리1,7700
범어역(2번출구),7672
퀸스로드앞(동편),7670
대륜중고등학교건너,7660
두성파크아파트앞,7642
남산초등학교건너,7637
조암초등학교앞,7624
상인비둘기1단지아파트앞,7623
율하역(2번출구),7618
제일여자상업고등학교앞,7589
북구선거관리위원회앞,7583
월성주공2단지앞,7580
경북기계공고건너,7578
대곡역그린빌,7571
경산시외버스정류장,7565
산격초등학교건너,7554
e편한세상대구금호건너,7530
올림픽기념관앞,7523
대구광역시교육연수원앞,7522
대곡역(한라하우젠트앞),7497
새길시장건너,7468
성당래미안·e-편한세상앞,7462
전자상가,7452
대천교,7441
반야월시장2,7421
동서변리벤빌,7394
청기와주유소건너,7389
구.동부정류장건너,7362
송원맨션건너,7351
청구고등학교건너,7305
삼덕성당앞,7301
경북대체육센터건너,7249
상수도사업본부건너,7229
수성도서관건너,7228
신천LH아파트앞,7197
태평상가앞1,7192
대구전자공업고등학교1,7184
과학마을청아람앞,7172
2차대자연맨션앞,7166
대구공업대학건너,7161
옥산네거리(경산방향),7152
심인고등학교앞,7144
산격중학교앞,7139
복현푸르지오아파트건너,7130
시청별관건너1,7128
상인장미아파트앞,7099
서재보성타운건너,7095
우방청솔맨션건너,7066
대구교도소건너,7055
북부동주민센터,7051
고모동입구,7050
지산동서맨션앞,7045
홈플러스동촌점앞,7042
캐슬골드파크(1504동),7028
중방e편한세상(구.세왕주유소),7012
태평상가건너,7006
월배초등학교건너,7004
효성타운앞,7003
지산청구타운앞,7000
우방신천지타운앞,6988
중구보건소건너,6985
용산종합큰시장건너,6974
건영아파트건너,6952
롯데백화점상인점건너,6949
칠곡그린빌3차건너,6944
대구교통방송건너,6911
상중이동행정복지센터앞,6908
시청별관앞(구.경북도청),6907
학정청아람건너,6896
하양역 건너,6893
상림리,6888
경북기계공고앞,6880
우방강촌마을앞,6866
칠곡시장건너,6857
가창농협앞,6851
교항리건너,6840
섬유회관건너2,6840
중동교1,6837
제일풍경채건너,6835
신천LH아파트건너,6813
성북시장앞,6811
근로복지공단대구병원앞,6787
대구섬유박물관,6780
반월당역(1번출구)2,6776
옥포초등학교앞,6771
이마트월배점앞,6758
국립신암선열공원건너,6741
봉무초등학교앞,6730
건영캐스빌건너,6728
덕화중학교건너,6717
운암초등학교건너,6717
성당포스코더샵앞,6673
계명대학교동산병원건너,6668
침산네거리2,6656
경북교통,6632
SK리더스뷰건너,6629
본리초등학교건너,6625
산격주공아파트건너,6598
수성구보건소앞,6587
방천리공영차고지,6585
