Station,Passengers,Lat,Long
각산역,88638,35.8679518746156,128.724285193184
감삼역,171850,35.8529902586351,128.544590131826
강창역,164341,35.8530985721362,128.479202231897
건들바위역,28699,35.8553415237355,128.599595502531
경대병원역,156609,35.8630173154678,128.603864203769
계명대역,143099,35.8515652597269,128.492614343806
고산역,55790,35.8428991311154,128.694173469176
공단역,37950,35.8917293775646,128.553750059189
교대역,85415,35.8500479821523,128.590524092732
구암역,49332,35.9263403803471,128.550775713013
남산역,69751,35.856667343774,128.58341692877
내당역,122360,35.8591234602279,128.561003058128
다사역,61061,35.8644940107937,128.458664957577
달성공원역,42716,35.8755579145913,128.582100562344
담티역,51961,35.8551999578987,128.653331350481
대곡역,140245,35.8086121260555,128.510715125972
대공원역,14730,35.844160495304,128.676724648694
대구역,174623,35.8761331136065,128.59712637567
대구은행역,130111,35.8596581295565,128.617104614998
대명역,65102,35.831646402666,128.570489085833
대봉교역,66115,35.8548915141841,128.606353690877
대실역,146626,35.8566919438357,128.466583131652
동대구역,255965,35.8774298682917,128.62732526467
동천역,47054,35.9377719860428,128.55665675352
동촌역,60551,35.8861386535391,128.650138038222
두류역,179297,35.85755329033,128.558178701679
만촌역,72415,35.8587860464568,128.644514138816
만평역,43743,35.8951413327772,128.571852263599
매천시장역,38431,35.9096951926886,128.545276341779
매천역,51190,35.9046923983989,128.546130292502
명덕역,135724,35.8565945540721,128.585485273027
문양역,78921,35.8644690481674,128.43569457914
반고개역,106083,35.8621754142291,128.572476049035
반야월역,60733,35.8655515028268,128.713628763046
반월당역,590854,35.8658100766039,128.593163607109
방촌역,80691,35.8796690361411,128.67011233381
범물역,96223,35.8195602971121,128.642419848983
범어역,167458,35.8589292726594,128.635389809772
북구청역,91165,35.8828293083527,128.581000676172
사월역,80596,35.8368717262957,128.715624773346
상인역,243454,35.8190495911169,128.537832861575
서문시장역,112920,35.8705435539481,128.581815735247
설화명곡역,103253,35.7982260262267,128.488648614065
성당못역,189241,35.8372163046219,128.55711415921
성서산업단지,148215,35.8515417184574,128.507195906313
송현역,98590,35.8303559168876,128.550011613642
수성구민운동장역,41410,35.8539266306764,128.623889146794
수성구청역,94423,35.8589292726594,128.635389809772
수성못역,68901,35.8349337833278,128.623876424976
수성시장역,64580,35.8544129574199,128.616541241292
신기역,99503,35.8666912560799,128.702119990492
청라언덕,106451,35.8649080168924,128.582469146488
신남역,41248,35.864253356521,128.582392251474
신매역,126952,35.8410211554786,128.70436196177
신천역,109150,35.8672711686436,128.623455646376
아양교역,115750,35.8871088832189,128.639561160302
안심역,123201,35.8717416534513,128.735644917266
안지랑역,104843,35.831646402666,128.570489085833
어린이회관역,27882,35.8430392104062,128.624396051989
연호역,15955,35.8461067654105,128.674489276074
영남대역,132115,35.835856888347,128.752250987407
영대병원역,127977,35.8442383195137,128.588205779665
용계역,45789,35.8761518623595,128.682067829911
용산역,164061,35.8491575867897,128.528283631709
용지역,68865,35.8185275354606,128.647341610176
원대역,40440,35.8870838420524,128.575476800592
월배역,96654,35.8162585691989,128.530331911759
월촌역,105319,35.8267151510279,128.548061991103
율하역,112026,35.8700086789088,128.692586859328
이곡역,100595,35.8505375623149,128.515776303291
임당역,63023,35.8340507192626,128.741121524301
정평역,92771,35.8340463733806,128.729768517721
죽전역,134142,35.851125596462,128.53942983356
중앙로역,268670,35.8709646122443,128.594012924936
지산역,49108,35.8251806271905,128.631545443151
진천역,157027,35.8138989857189,128.522433572062
칠곡경대병원역,31410,35.9584222592143,128.559863182012
칠곡운암역,95009,35.9318087593763,128.554969652718
칠성역,123196,35.8761254192122,128.604976801046
큰고개역,88918,35.880454412119,128.627866266432
태전역,51856,35.9176697930331,128.548149275699
팔거역,94716,35.9433674437963,128.558203699855
팔달시장역,70331,35.8981429109725,128.546400383569
팔달역,33126,35.8912500377779,128.554399179601
학정역,7643,35.9507728176263,128.559118836877
해안역,62719,35.8812018275192,128.665735302288
현충로역,86183,35.8761254192122,128.604976801046
화원역,88329,35.8011045578513,128.500431838946
황금역,70491,35.8349336963057,128.623489427322
