각산,128.724285193184,35.8679518746156
교대,128.590524092732,35.8500479821523
대곡(정부대구청사),128.510715125972,35.8086121260555
대구역,128.59712637567,35.8761331136065
대명,128.570489085833,35.831646402666
동대구역,128.62732526467,35.8774298682917
동촌,128.650138038222,35.8861386535391
명덕(2.28민주운동기념회관),128.585485273027,35.8565945540721
반야월,128.713628763046,35.8655515028268
반월당,128.593163607109,35.8658100766039
방촌,128.67011233381,35.8796690361411
상인,128.537832861575,35.8190495911169
설화명곡,128.488648614065,35.7982260262267
성당못,128.55711415921,35.8372163046219
송현,128.550011613642,35.8303559168876
신기,128.702119990492,35.8666912560799
신천(경북대입구),128.623455646376,35.8672711686436
아양교,128.639561160302,35.8871088832189
안심(혁신도시·첨복단지),128.735644917266,35.8717416534513
안지랑,128.570489085833,35.831646402666
영대병원,128.588205779665,35.8442383195137
용계,128.682067829911,35.8761518623595
월배,128.530331911759,35.8162585691989
월촌,128.548061991103,35.8267151510279
율하,128.692586859328,35.8700086789088
중앙로,128.594012924936,35.8709646122443
진천,128.522433572062,35.8138989857189
칠성시장,128.604976801046,35.8761254192122
큰고개,128.627866266432,35.880454412119
해안,128.665735302288,35.8812018275192
현충로,128.604976801046,35.8761254192122
화원,128.500431838946,35.8011045578513
감삼,128.544590131826,35.8529902586351
강창,128.479202231897,35.8530985721362
경대병원,128.603864203769,35.8630173154678
계명대,128.492614343806,35.8515652597269
고산,128.694173469176,35.8428991311154
내당,128.561003058128,35.8591234602279
다사,128.458664957577,35.8644940107937
담티(산대ㆍ대륜),128.653331350481,35.8551999578987
대공원,128.676724648694,35.844160495304
대구은행,128.617104614998,35.8596581295565
대실,128.466583131652,35.8566919438357
두류,128.558178701679,35.85755329033
만촌,128.644514138816,35.8587860464568
문양,128.43569457914,35.8644690481674
반고개,128.572476049035,35.8621754142291
반월당,128.593163607109,35.8658100766039
범어,128.635389809772,35.8589292726594
사월,128.715624773346,35.8368717262957
성서산업단지,128.507195906313,35.8515417184574
수성구청(KBS),128.635389809772,35.8589292726594
신남,128.582469146488,35.8649080168924
신매,128.70436196177,35.8410211554786
연호,128.674489276074,35.8461067654105
영남대,128.752250987407,35.835856888347
용산(서부법원?검찰청입구),128.528283631709,35.8491575867897
이곡,128.515776303291,35.8505375623149
임당,128.741121524301,35.8340507192626
정평,128.729768517721,35.8340463733806
죽전,128.53942983356,35.851125596462
건들바위,128.599595502531,35.8553415237355
공단,128.553750059189,35.8917293775646
구암,128.550775713013,35.9263403803471
남산,128.58341692877,35.856667343774
달성공원,128.582100562344,35.8755579145913
대봉교,128.606353690877,35.8548915141841
동천,128.55665675352,35.9377719860428
만평,128.571852263599,35.8951413327772
매천,128.545276341779,35.9096951926886
매천시장,128.546130292502,35.9046923983989
명덕(2.28민주운동기념회관),128.578988395973,35.850386965932
범물,128.642419848983,35.8195602971121
북구청,128.581000676172,35.8828293083527
서문시장(동산병원),128.581815735247,35.8705435539481
수성구민운동장,128.623889146794,35.8539266306764
수성못(TBC),128.623876424976,35.8349337833278
수성시장,128.616541241292,35.8544129574199
신남,128.582392251474,35.864253356521
어린이회관,128.624396051989,35.8430392104062
용지,128.647341610176,35.8185275354606
원대,128.575476800592,35.8870838420524
지산,128.631545443151,35.8251806271905
칠곡경대병원,128.559863182012,35.9584222592143
칠곡운암,128.554969652718,35.9318087593763
태전,128.548149275699,35.9176697930331
팔거(국립농관원?통계청),128.558203699855,35.9433674437963
팔달,128.546400383569,35.8981429109725
팔달시장,128.554399179601,35.8912500377779
학정,128.559118836877,35.9507728176263
황금,128.623489427322,35.8349336963057
