정류소명,X좌표,Y좌표,경유노선수,경유노선
경북교통,12842.8216,3552.225,6,"805, 836, 849, 980, 동구4-1, 북구3"
경북교통앞,12842.8219,3552.2156,6,"805, 836, 849-1, 980, 동구4, 북구3"
반야월역(도시철도4번출구)1,12842.820851,3552.022411,6,"805, 836, 849-1, 980, 동구4, 북구3"
반야월역(도시철도1번출구),12842.813303,3552.021432,6,"805, 836, 849, 980, 동구4-1, 북구3"
동부고교건너,12843.075689,3552.312821,7,"55, 555, 808, 814, 818, 동구2, 북구3"
동부고교앞,12843.024543,3552.324709,7,"55, 555, 808, 814, 818, 동구2, 북구3"
동부경찰서건너,12843.3548,3552.3113,8,"55, 555, 808, 814, 818, 급행5, 동구2, 북구3"
동부경찰서앞,12843.399,3552.3148,8,"55, 555, 808, 814, 818, 급행5, 동구2, 북구3"
녹원맨션1,12843.721001,3552.302193,6,"55, 555, 808, 814, 818, 동구4-1"
녹원맨션2,12843.7744,3552.3067,6,"55, 555, 808, 814, 818, 동구4"
송정삼거리3,12843.9484,3552.2949,6,"55, 555, 808, 814, 818, 동구4"
송정삼거리4,12843.9136,3552.2977,6,"55, 555, 808, 814, 818, 동구4-1"
안심역(4번출구),12844.0991,3552.2938,9,"518, 518-1, 55, 555, 808, 814, 818, 급행5, 동구6"
안심역(5번출구),12844.0806,3552.2981,9,"518, 518-1, 55, 555, 808, 814, 818, 급행5, 동구6"
대림육교1,12844.5244,3552.3502,8,"518, 518-1, 55, 555, 808, 814, 818, 동구6"
대림육교2,12844.5574,3552.3303,8,"518, 518-1, 55, 555, 808, 814, 818, 동구6"
태왕그린힐즈앞1,12838.3118,3556.3538,1,101-1
팔공3차보성타운후문,12838.2858,3556.4022,2,"101-1, 북구2"
지묘초등학교앞,12838.255765,3556.607066,2,"101, 101-1"
지묘초등학교건너,12838.2584,3556.5369,2,"101, 101-1"
동북주유소앞,12838.0722,3557.1342,2,"101, 101-1"
동북주유소건너,12838.0493,3557.1632,2,"101, 101-1"
화전동1,12837.886,3557.7282,2,"101, 101-1"
농협방촌지점,12839.9363,3552.9314,1,동구3
방촌빌라,12840.2989,3552.9007,1,동구3
금사리하이빌APT앞,12839.4082,3553.0349,1,618
신암건영캐스빌건너,12837.0997,3552.6855,2,"101, 650"
신암건영캐스빌앞,12837.107,3552.6816,1,101-1
동대구초등학교앞,12837.2412,3552.7249,1,101
동대구초등학교건너,12837.2416,3552.7145,1,101-1
동대구역수화물취급소건너,12837.5034,3552.7906,1,101
동대구역수화물취급소앞,12837.5088,3552.7864,1,101-1
동양맨션앞,12837.175353,3552.781241,1,650
매골1,12837.7213,3558.1856,2,"101, 101-1"
매골2,12837.7075,3558.1989,2,"101, 101-1"
덕곡삼거리1,12837.8021,3558.5133,2,"101, 101-1"
덕곡삼거리2,12837.7853,3558.4877,2,"101, 101-1"
파계사(종점),12838.2217,3559.4215,3,"101, 101-1, 칠곡3"
내동,12839.8972,3557.4196,3,"401, 팔공1, 팔공2"
미대동1,12840.1337,3557.4471,4,"401, 급행1, 팔공1, 팔공2"
미대동2,12840.111,3557.4316,4,"401, 급행1, 팔공1, 팔공2"
구암동1,12840.7745,3557.2765,4,"401, 급행1, 팔공1, 팔공2"
구암동2,12840.7814,3557.2663,4,"401, 급행1, 팔공1, 팔공2"
미곡동1,12841.1114,3557.3063,4,"401, 급행1, 팔공1, 팔공2"
미곡동2,12841.1045,3557.317,4,"401, 급행1, 팔공1, 팔공2"
백안삼거리1,12841.3705,3557.2446,3,"401, 팔공1, 팔공2"
백안삼거리2,12841.3663,3557.2546,3,"401, 팔공1, 팔공2"
공산초등학교건너,12841.5237,3557.365,3,"급행1, 팔공1, 팔공3"
공산초등학교앞,12841.5161,3557.3688,3,"급행1, 팔공1, 팔공3"
백안교1,12841.65,3557.1835,4,"401, 팔공1, 팔공2, 팔공3"
백안교2,12841.6427,3557.1882,4,"401, 팔공1, 팔공2, 팔공3"
인산마을앞,12842.338512,3557.337817,4,"401, 팔공1, 팔공2, 팔공3"
